stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1035_02,,大谷荘,,34.6164,133.831308,1035_02,,0,
1036_01,,若宮,,34.615517,133.833202,1036_01,,0,
1036_02,,若宮,,34.615438,133.833228,1036_02,,0,
1037_01,,若宮下,,34.614966,133.830594,1037_01,,0,
1037_02,,若宮下,,34.614886,133.830584,1037_02,,0,
1038_01,,山川池,,34.6144,133.828475,1038_01,,0,
1038_02,,山川池,,34.614264,133.82869,1038_02,,0,
1039_01,,無津,,34.611019,133.830106,1039_01,,0,
1039_02,,無津,,34.611469,133.830155,1039_02,,0,
1040_01,,真磯,,34.608528,133.830734,1040_01,,0,
1040_02,,真磯,,34.609204,133.831066,1040_02,,0,
1041_01,,塩津,,34.606608,133.834301,1041_01,,0,
1042_01,,真磯台,,34.609663,133.827826,1042_01,,0,
1042_02,,真磯台,,34.609632,133.827832,1042_02,,0,
1043_01,,城山,,34.608065,133.825423,1043_01,,0,
1043_02,,城山,,34.6079851,133.82547,1043_02,,0,
1044_01,,頓行,,34.60655,133.823106,1044_01,,0,
1044_02,,頓行,,34.60667,133.823283,1044_02,,0,
1045_01,,矢尾グラウンドゴルフ場,,34.621543,133.82847,1045_01,,0,
1056_01,,日笠山,,34.6184,133.828631,1056_01,,0,
1_01,,井原バスセンター,,34.601386,133.46537,1_01,,0,,
2_01,,駅前通り,,34.598028,133.46688,2_01,,0,,
2_02,,駅前通り,,34.598449,133.466553,2_02,,0,,
3_01,,井原郵便局前,,34.595056,133.468165142857,3_01,,0,,
3_02,,井原郵便局前,,34.595923,133.467629,3_02,,0,,
4_01,,井原駅,,34.593309,133.468334571429,4_01,,0,,
5_01,,市民会館前,,34.596444,133.464725,5_01,,0,,
5_02,,市民会館前,,34.596874,133.465723285714,5_02,,0,,
6_01,,市役所前,,34.597328,133.462763142857,6_01,,0,,
6_02,,市役所前,,34.597641,133.462798571429,6_02,,0,,
7_01,,井原小学校前,,34.601024,133.461381,7_01,,0,,
7_02,,井原小学校前,,34.602067,133.461041952381,7_02,,0,,
8_01,,市民病院前,,34.603714,133.458645,8_01,,0,,
9_01,,井原高入口,,34.605026,133.457618,9_01,,0,,
9_02,,井原高入口,,34.605226,133.45747,9_02,,0,,
10_01,,昭和橋,,34.60675,133.455418,10_01,,0,,
10_02,,昭和橋,,34.606825,133.455429,10_02,,0,,
11_01,,向町,,34.609327,133.45242,11_01,,0,,
11_02,,向町,,34.608791,133.453437,11_02,,0,,
12_01,,向町入口,,34.610497,133.45107,12_01,,0,,
12_02,,向町入口,,34.609714,133.451949,12_02,,0,,
13_01,,長川,,34.615176,133.449716,13_01,,0,,
14_01,,飯名,,34.620456,133.445437857143,14_01,,0,,
15_01,,梶江,,34.620877,133.44068,15_01,,0,,
15_02,,梶江,,34.62099,133.440307,15_02,,0,,
16_02,,簗瀬,,34.622873,133.437441857143,16_02,,0,,
17_02,,芳井中学校前,,34.627637,133.433771,17_02,,0,,
18_01,,芳井郵便局前,,34.624084,133.438962571429,18_01,,0,,
19_01,,与井,,34.625989,133.436169857143,19_01,,0,,
20_01,,与井上,,34.6279246666667,133.434752714286,20_01,,0,,
21_01,,佐原,,34.631364,133.434373,21_01,,0,,
22_01,,芳井支所前,,34.632431,133.43235,22_01,,0,,
23_01,,戎橋,,34.649893,133.437237857143,23_01,,0,,
24_01,,片塚,,34.655035,133.441742428571,24_01,,0,,
25_01,,谷の宮,,34.660787,133.444011428571,25_01,,0,,
26_01,,横谷,,34.664842,133.447551857143,26_01,,0,,
27_01,,種入口,,34.668553,133.455671,27_01,,0,,
28_01,,明治局前,,34.671515,133.457533,28_01,,0,,
29_01,,明治,,34.673746,133.458294,29_01,,0,,
30_01,,土頭,,34.68002,133.460769,30_01,,0,,
31_01,,佐屋入口,,34.686253,133.449231,31_01,,0,,
32_01,,佐屋,,34.68826,133.444691285714,32_01,,0,,
33_01,,沢岡,,34.6331190000001,133.428056571428,33_01,,0,,
33_02,,沢岡,,34.632959,133.428730857143,33_02,,0,,
34_01,,通峠,,34.634444,133.42701,34_01,,0,,
35_01,,山内,,34.638259,133.426579,35_01,,0,,
36_01,,天神,,34.644721,133.42368,36_01,,0,,
37_01,,戸儀,,34.649341,133.414733,37_01,,0,,
38_01,,川相,,34.652662,133.412897,38_01,,0,,
38_02,,川相,,34.652732,133.412897,38_02,,0,,
39_01,,川相学校前,,34.650721,133.408819,39_01,,0,,
40_01,,川相上組,,34.64965,133.399461,40_01,,0,,
41_01,,仁吾山,,34.663779,133.409522,41_01,,0,,
42_01,,山村,,34.671273,133.408817,42_01,,0,,
43_01,,梅木,,34.67432,133.411354,43_01,,0,,
44_01,,下崎,,34.678545,133.411597,44_01,,0,,
45_01,,川町,,34.683766,133.40859,45_01,,0,,
46_01,,小原,,34.686189,133.407294,46_01,,0,,
47_01,,山戸,,34.688908,133.404431,47_01,,0,,
48_01,,共和,,34.693876,133.401006,48_01,,0,,
49_01,,上鴫,,34.692014,133.392887,49_01,,0,,
50_01,,蛇の穴,,34.693252,133.387952,50_01,,0,,
51_01,,畑谷,,34.701261,133.3843,51_01,,0,,
52_01,,下谷,,34.709132,133.386801,52_01,,0,,
53_01,,三原小学校前,,34.717991,133.393542,53_01,,0,,
54_01,,三原,,34.720154,133.392642,54_01,,0,,
55_01,,神迫,,34.720164,133.384666,55_01,,0,,
56_01,,入野尻,,34.728927,133.376163,56_01,,0,,
57_01,,村入,,34.735456,133.363996,57_01,,0,,
58_01,,杖立,,34.74584,133.3706,58_01,,0,,
59_01,,太刀洗,,34.742769,133.380331,59_01,,0,,
60_01,,高山市,,34.734638,133.397411857143,60_01,,0,,
61_01,,弥高山入口,,34.734486,133.402729,61_01,,0,,
62_01,,田中苑,,34.599036,133.463214714286,62_01,,0,,
62_02,,田中苑,,34.598966,133.463249,62_02,,0,,
63_01,,ＪＡ岡山西,,34.600379,133.466432571429,63_01,,0,,
63_02,,ＪＡ岡山西,,34.600274,133.466489714285,63_02,,0,,
64_01,,井原中学校前,,34.601475,133.471518,64_01,,0,,
64_02,,井原中学校前,,34.601417,133.470819,64_02,,0,,
65_01,,興譲館高校前,,34.601872,133.474673571429,65_01,,0,,
66_01,,やすらぎセンター,,34.601411,133.482847428571,66_01,,0,,
66_02,,やすらぎセンター,,34.601406,133.482556,66_02,,0,,
67_01,,東新町,,34.601196,133.484975857143,67_01,,0,,
67_02,,東新町,,34.601141,133.484964428571,67_02,,0,,
68_01,,長谷入口,,34.60519,133.486828428571,68_01,,0,,
68_02,,長谷入口,,34.604858,133.486843,68_02,,0,,
69_01,,戸倉,,34.609029,133.488711,69_01,,0,,
69_02,,戸倉,,34.608969,133.488762428571,69_02,,0,,
70_01,,戸倉上,,34.6149900000001,133.488928714286,70_01,,0,,
70_02,,戸倉上,,34.6151600000001,133.488871571428,70_02,,0,,
71_01,,才児下,,34.623122,133.490445,71_01,,0,,
72_01,,永祥寺入口,,34.62912,133.490180142857,72_01,,0,,
72_02,,永祥寺入口,,34.629055,133.490231571429,72_02,,0,,
73_01,,那須与一の墓入口,,34.6395259999999,133.500525714285,73_01,,0,,
73_02,,那須与一の墓入口,,34.6411060000001,133.500908571429,73_02,,0,,
74_01,,細見,,34.642276,133.501680714286,74_01,,0,,
74_02,,細見,,34.642191,133.501697857143,74_02,,0,,
75_01,,田輪,,34.644263,133.508022571429,75_01,,0,,
76_01,,長草,,34.647145,133.50241,76_01,,0,,
77_01,,江良,,34.654436,133.501349,77_01,,0,,
78_01,,栩木,,34.657851,133.503074,78_01,,0,,
79_01,,小松,,34.657218,133.509576,79_01,,0,,
80_01,,木野山,,34.661088,133.513218,80_01,,0,,
81_01,,矢谷,,34.66128,133.51679,81_01,,0,,
82_01,,谷山,,34.661882,133.522634,82_01,,0,,
83_01,,志村,,34.66153,133.529638,83_01,,0,,
84_01,,美星産直プラザ,,34.672081,133.53075,84_01,,0,,
85_01,,美星診療所前,,34.673612,133.532681,85_01,,0,,
86_01,,三山西,,34.6810161701205,133.538983608709,86_01,,0,,
87_01,,美星農協前,,34.682006314455,133.541716819705,87_01,,0,,
88_01,,美星支所前,,34.683633,133.543077714286,88_01,,0,,
89_01,,大元,,34.6868277743893,133.546766561154,89_01,,0,,
90_01,,下田,,34.688152864596,133.550942922937,90_01,,0,,
101_01,,下田東,,34.6885,133.552999,101_01,,0,,
102_01,,谷下,,34.6853452582901,133.55482551029,102_01,,0,,
103_01,,谷上,,34.681881660414,133.554865083041,103_01,,0,,
104_01,,上組,,34.678567294253,133.55715316638,104_01,,0,,
105_01,,中谷,,34.6747414367623,133.556086773518,105_01,,0,,
106_01,,千ノ坂,,34.668216,133.554947285714,106_01,,0,,
107_01,,美砂橋,,34.658283,133.550656761905,107_01,,0,,
108_01,,東水砂,,34.6554906502831,133.552098987779,108_01,,0,,
109_01,,米田,,34.6481388793577,133.554254121399,109_01,,0,,
110_01,,一本松,,34.641831,133.5593,110_01,,0,,
111_01,,車谷,,34.6362898474845,133.55931778347,111_01,,0,,
112_01,,仏田,,34.632662,133.563293,112_01,,0,,
113_01,,川面農協,,34.6261211286043,133.568908895978,113_01,,0,,
114_01,,北田,,34.623028,133.578139,114_01,,0,,
115_01,,田町,,34.6255410859782,133.586542904707,115_01,,0,,
116_01,,矢掛病院前,,34.6281907698253,133.587959811462,116_01,,0,,
117_01,,井原線矢掛駅,,34.6291886783584,133.590175781719,117_01,,0,,
118_01,,ネバーランド前,,34.6278816283065,133.590358171932,118_01,,0,,
119_01,,矢掛高校前,,34.627569,133.592888714286,119_01,,0,,
120_01,,矢掛高校入口,,34.624348,133.593104,120_01,,0,,
121_01,,矢掛中町,,34.6234665714976,133.590723927216,121_01,,0,,
121_02,,矢掛中町,,34.6233591893678,133.591151173919,121_02,,0,,
122_01,,矢掛西町,,34.622969949716,133.58724277242,122_01,,0,,
122_02,,矢掛西町,,34.6228671645249,133.587213691085,122_02,,0,,
123_01,,矢掛,,34.6227391376417,133.582397220811,123_01,,0,,
124_01,,加茂ハイツ入口,,34.578954,133.347592142857,124_01,,0,,
125_01,,加茂診療所入口,,34.5796789191357,133.348627233604,125_01,,0,,
125_02,,加茂診療所入口,,34.579617760957,133.348676911518,125_02,,0,,
126_01,,芦原,,34.5828776606857,133.351070141694,126_01,,0,,
126_02,,芦原,,34.5828482441297,133.351138247512,126_02,,0,,
127_01,,フジグラン前,,34.54406,133.359264714286,127_01,,0,,
128_01,,ビッグローズ前,,34.5474481113733,133.34991286721,128_01,,0,,
128_02,,ビッグローズ前,,34.5475138430164,133.350008688638,128_02,,0,,
129_01,,中国中央病院前,,34.5484364447067,133.348570010067,129_01,,0,,
130_01,,平成大学前,,34.5487169109125,133.347903344719,130_01,,0,,
130_02,,平成大学前,,34.5488633840043,133.349349057686,130_02,,0,,
131_01,,平成大学西,,34.549947655364,133.346724884389,131_01,,0,,
131_02,,平成大学西,,34.5495081635973,133.346956450522,131_02,,0,,
132_01,,正戸山,,34.5542603132947,133.345637035174,132_01,,0,,
132_02,,正戸山,,34.5537192345148,133.345871555672,132_02,,0,,
133_01,,下加茂南,,34.557675,133.344811,133_01,,0,,
133_02,,下加茂南,,34.55634,133.345251000001,133_02,,0,,
134_01,,下加茂,,34.5604832464303,133.344024912142,134_01,,0,,
134_02,,下加茂,,34.5609027950885,133.344016982907,134_02,,0,,
135_01,,二葉大橋北,,34.567446,133.342127571429,135_01,,0,,
135_02,,二葉大橋北,,34.567546,133.342241857143,135_02,,0,,
136_01,,平成大橋,,34.5689129620843,133.344719721669,136_01,,0,,
136_02,,平成大橋,,34.5688169108211,133.344658030531,136_02,,0,,
137_01,,加茂昭和橋,,34.56913,133.347317428571,137_01,,0,,
137_02,,加茂昭和橋,,34.56901,133.347214571428,137_02,,0,,
138_01,,加茂ヶ丘団地口,,34.5715906525835,133.348958429369,138_01,,0,,
138_02,,加茂ヶ丘団地口,,34.570529115748,133.349120294451,138_02,,0,,
139_01,,加茂小学校前,,34.5756915007072,133.349545600009,139_01,,0,,
139_02,,加茂小学校前,,34.5754060228962,133.349532303718,139_02,,0,,
140_01,,芦原下,,34.5794270003123,133.350950725686,140_01,,0,,
140_02,,芦原下,,34.5797160028169,133.351194226341,140_02,,0,,
141_01,,芦原団地口,,34.585439,133.353408428571,141_01,,0,,
141_02,,芦原団地口,,34.585339,133.353522714286,141_02,,0,,
142_01,,芦原上,,34.587236,133.354274,142_01,,0,,
142_02,,芦原上,,34.5867109999999,133.354205428572,142_02,,0,,
143_01,,四川別,,34.5897495611503,133.355152232328,143_01,,0,,
143_02,,四川別,,34.5896042786373,133.355293455876,143_02,,0,,
144_01,,旭保育所前,,34.5924020533556,133.356156893714,144_01,,0,,
144_02,,旭保育所前,,34.5925649729792,133.356437359325,144_02,,0,,
145_01,,庭田,,34.5956123471327,133.356076662887,145_01,,0,,
145_02,,庭田,,34.5961369233467,133.356164240275,145_02,,0,,
146_01,,粟根,,34.5996105029804,133.356485521366,146_01,,0,,
146_02,,粟根,,34.5993378274476,133.356567972417,146_02,,0,,
147_01,,上粟根,,34.6014672673014,133.356812168852,147_01,,0,,
148_01,,苅光,,34.60676,133.360556142857,148_01,,0,,
148_02,,苅光,,34.606505,133.360590428571,148_02,,0,,
149_01,,青笹,,34.6290933333333,133.376227714286,149_01,,0,,
150_01,,大谷中,,34.632159171284,133.378975146528,150_01,,0,,
151_01,,谷中,,34.6369286634777,133.381160563872,151_01,,0,,
152_01,,若林,,34.6402929424789,133.380096775507,152_01,,0,,
153_01,,大谷広間,,34.6425115157265,133.3796746181,153_01,,0,,
154_01,,大谷下,,34.6488251050657,133.380437027494,154_01,,0,,
155_01,,大谷高尾,,34.648343,133.386263428571,155_01,,0,,
156_01,,山野支所前,,34.6537301156907,133.390869227306,156_01,,0,,
157_01,,山野下市,,34.654072,133.391521714286,157_01,,0,,
158_01,,山野農協前,,34.6559032214783,133.391143979291,158_01,,0,,
159_01,,小迫,,34.6582308111759,133.3907144363,159_01,,0,,
160_01,,発電所前,,34.6628690000001,133.388405142857,160_01,,0,,
161_01,,東の免,,34.6622252873569,133.383414434924,161_01,,0,,
162_01,,池尻下,,34.6637056785373,133.38094586877,162_01,,0,,
163_01,,池尻,,34.6640684620028,133.378323721913,163_01,,0,,
164_01,,妻屋橋,,34.6681123031271,133.373451894504,164_01,,0,,
165_01,,山野田原,,34.6724749999999,133.362253,165_01,,0,,
166_01,,東城別,,34.5716976883191,133.345152834124,166_01,,0,,
166_02,,東城別,,34.5717989371847,133.345404167394,166_02,,0,,
167_01,,上中野,,34.5758987986158,133.346083260026,167_01,,0,,
167_02,,上中野,,34.5761598867072,133.346383157529,167_02,,0,,
174_01,,落合橋,,34.6095539766865,133.355106553766,174_01,,0,,
175_01,,竜王,,34.6136953314632,133.347550111905,175_01,,0,,
176_01,,芋原東,,34.6108739092906,133.347123914146,176_01,,0,,
177_01,,芋原,,34.6089391799098,133.345817911491,177_01,,0,,
178_01,,広瀬郵便局前,,34.6095849069225,133.343839956453,178_01,,0,,
179_01,,広瀬中学校前,,34.6114791329347,133.341835179983,179_01,,0,,
180_01,,広瀬学校前,,34.6139502489812,133.341726724957,180_01,,0,,
181_01,,楠田,,34.625590472638,133.344626078808,181_01,,0,,
1_01,,立戸公園,,34.6029,133.4838,1_01,,0,,
2_01,,新町,,34.607127,133.457922714286,2_01,,0,,
3_01,,池の内,,34.61989,133.4668,3_01,,0,,
4_01,,井原中学校,,34.60137,133.4708,4_01,,0,,
5_01,,井原バスセンター,,34.60141,133.4654,5_01,,0,,
6_01,,昭和橋,,34.60669,133.4554,6_01,,0,,
6_02,,昭和橋,,34.6068,133.4555,6_02,,0,,
7_01,,いばらサンサン交流館,,34.6074718772705,133.46182475003,7_01,,0,,
8_01,,大谷,,34.58349,133.473,8_01,,0,,
8_02,,大谷,,34.58358,133.4727,8_02,,0,,
9_01,,市民病院前,,34.60365,133.4587,9_01,,0,,
10_01,,子守唄の里高屋駅,,34.581665,133.433454285714,10_01,,0,,
10_02,,子守唄の里高屋駅,,34.5817344176583,133.433354951832,10_02,,0,,
11_01,,高屋児童会館,,34.5797,133.4334,11_01,,0,,
12_01,,梶草口,,34.56628,133.4508,12_01,,0,,
13_01,,匠住宅,,34.56399,133.4554,13_01,,0,,
14_01,,稲木,,34.562402,133.457472285714,14_01,,0,,
15_01,,スターハイツ,,34.56467,133.461,15_01,,0,,
16_01,,稲倉小学校,,34.56841,133.4659,16_01,,0,,
17_01,,嫁いらず観音,,34.57372,133.4571,17_01,,0,,
18_01,,矢ノ側,,34.57479,133.4463,18_01,,0,,
19_01,,大江公民館,,34.572765,133.441582571429,19_01,,0,,
20_01,,中講,,34.568318,133.444866,20_01,,0,,
21_01,,源代,,34.574104823939,133.439942335527,21_01,,0,,
22_01,,新川,,34.57619,133.436,22_01,,0,,
23_01,,西部いこいの里,,34.5791504199977,133.434989409509,23_01,,0,,
24_01,,中国新聞井原支局,,34.593515,133.465288571429,24_01,,0,,
